TRACT,weighted_mean_dist_m,weighted_mean_percentile,total_population
000101,409.48143450485463,35.40959639428237,1406
000102,295.408139294921,23.08618961033637,3417
000201,498.26146991329324,45.3071349070035,4108
000202,435.61895527940374,38.191600929118536,4672
000300,446.9998630374568,38.744663620672064,6161
000400,522.8433950017136,45.33238059297455,1643
000501,362.10025057057294,30.520779806534716,3829
000502,566.1993839660151,51.15608219337301,3418
000600,454.11925139650174,40.15423178407308,4676
000702,732.0416766254128,65.99996857827085,3452
000703,713.2118009995968,65.43761982361698,3022
000704,536.179434117034,47.566820074324326,2753
000802,783.85606486101,69.76108374002436,3327
000803,264.13426426214795,19.190473839339074,3174
000804,525.5780552116378,45.95402079486147,3832
000902,918.0987408290117,75.50441081007651,2317
000903,590.212512976733,53.95982345867417,4202
000904,601.445319725768,53.449748100528105,3148
001002,444.4784328244658,39.319870748444394,3643
001003,505.7873501361168,45.24733691649954,3111
001004,450.92019344180045,39.46041632007985,4480
001100,361.9164785533856,30.33543848855714,5300
001200,453.4995739462578,40.09525328432659,5371
001301,527.4658547973049,47.18268910842942,4160
001303,231.24321593502475,16.16561505430318,3763
001304,337.1356238530147,27.904247058590695,4018
001401,490.1578787219187,42.87162710394152,3258
001402,705.8913766487037,58.52844533646198,3514
001500,1570.7566887837465,93.26148217114195,6156
001600,1855.9444040775577,96.36950538119167,4471
001702,424.5047236364411,36.53183307757788,3356
001803,670.4691393615229,62.46830023390402,4102
001804,343.34466678477537,28.289913945645104,5500
001901,384.1846165892234,33.09422106388723,4206
001902,878.1015722911102,76.5280421573203,2117
002001,620.8815410327197,54.71641020853429,2926
002002,891.0267675410872,72.66597273041337,4072
002101,753.1035993816015,66.28379885104259,5687
002102,1007.317837197653,82.91066952529893,5099
002201,1106.18336812882,87.44364647596097,3485
002202,1278.8993576062142,92.7593063510548,3339
002301,867.4573971633947,75.161621941729,3266
002302,450.27666640724465,35.40221663235261,1762
002400,402.46216344713724,34.37828368788276,4095
002501,908.0507666601017,77.38921476301384,2688
002503,193.1870188846388,12.407655139667234,3031
002504,673.1427834498771,61.87037211911536,3349
002600,1255.0011241910393,90.76689520857852,2592
002702,277.94248922932223,21.436542304773152,5825
002703,357.5816041225595,29.68113037345331,2614
002704,597.6296529796759,55.567421415788395,2993
002801,454.91692077329037,40.12336334425238,4398
002802,166.2565130342966,9.207921372183725,4685
002900,318.51742438126524,25.559585354676305,4443
003000,219.3535806595245,14.808262919273105,3561
003100,479.4662674736601,42.761748911744256,3873
003200,366.60490661098845,30.818041017760176,5099
003301,750.8573337985168,68.60892321538824,3824
003302,454.50515516158424,40.378150875681634,2434
003400,449.5121131793643,39.859541361670274,5120
003500,511.31871934725353,45.27850437081417,4801
003600,417.28241409206584,36.2640394878151,4775
003701,329.1400534782683,26.415854198715248,2916
003702,357.1913841072413,29.708112553001307,2906
003801,207.9525696157866,13.987707721029963,1800
003802,155.7917629372186,8.526671527495765,3911
003901,222.8937817985591,15.882320697914741,2598
003902,260.4674609708072,19.021145045491114,2022
004001,261.84772395684524,19.487275105172785,3941
004002,261.73624794305937,19.27437700183109,3291
004100,361.5001036978552,29.77964235291247,2836
004201,406.23033418772826,35.212102689601195,3548
004202,278.6676200591106,20.76917464181165,2850
004300,286.74893010759433,21.806050944473757,4436
004401,198.3432782094946,12.91986557201011,3430
004402,208.8836935427677,13.933312218585344,2755
004600,368.6353830781031,31.047600050955598,3543
004702,271.3564992094874,20.024790172431715,3934
004703,132.44262123536345,6.760966248158772,3331
004704,338.91664940055153,27.675773506925392,1945
