OID_,ID,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,ACSDISABBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED,UNEMPPCT,DISABILITY,DISABILITYPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,NO2,DWATER,D2_PM25,D5_PM25,D2_OZONE,D5_OZONE,D2_DSLPM,D5_DSLPM,D2_RSEI_AIR,D5_RSEI_AIR,D2_PTRAF,D5_PTRAF,D2_LDPNT,D5_LDPNT,D2_PNPL,D5_PNPL,D2_PRMP,D5_PRMP,D2_PTSDF,D5_PTSDF,D2_UST,D5_UST,D2_PWDIS,D5_PWDIS,D2_NO2,D5_NO2,D2_DWATER,D5_DWATER,P_DEMOGIDX_2,P_DEMOGIDX_5,P_PEOPCOLORPCT,P_LOWINCPCT,P_UNEMPPCT,P_DISABILITYPCT,P_LINGISOPCT,P_LESSHSPCT,P_UNDER5PCT,P_OVER64PCT,P_LIFEEXPPCT,P_PM25,P_OZONE,P_DSLPM,P_RSEI_AIR,P_PTRAF,P_LDPNT,P_PNPL,P_PRMP,P_PTSDF,P_UST,P_PWDIS,P_NO2,P_DWATER,P_D2_PM25,P_D5_PM25,P_D2_OZONE,P_D5_OZONE,P_D2_DSLPM,P_D5_DSLPM,P_D2_RSEI_AIR,P_D5_RSEI_AIR,P_D2_PTRAF,P_D5_PTRAF,P_D2_LDPNT,P_D5_LDPNT,P_D2_PNPL,P_D5_PNPL,P_D2_PRMP,P_D5_PRMP,P_D2_PTSDF,P_D5_PTSDF,P_D2_UST,P_D5_UST,P_D2_PWDIS,P_D5_PWDIS,P_D2_NO2,P_D5_NO2,P_D2_DWATER,P_D5_DWATER,B_DEMOGIDX_2,B_DEMOGIDX_5,B_PEOPCOLORPCT,B_LOWINCPCT,B_UNEMPPCT,B_DISABILITYPCT,B_LINGISOPCT,B_LESSHSPCT,B_UNDER5PCT,B_OVER64PCT,B_LIFEEXPPCT,B_PM25,B_OZONE,B_DSLPM,B_RSEI_AIR,B_PTRAF,B_LDPNT,B_PNPL,B_PRMP,B_PTSDF,B_UST,B_PWDIS,B_NO2,B_DWATER,B_D2_PM25,B_D5_PM25,B_D2_OZONE,B_D5_OZONE,B_D2_DSLPM,B_D5_DSLPM,B_D2_RSEI_AIR,B_D5_RSEI_AIR,B_D2_PTRAF,B_D5_PTRAF,B_D2_LDPNT,B_D5_LDPNT,B_D2_PNPL,B_D5_PNPL,B_D2_PRMP,B_D5_PRMP,B_D2_PTSDF,B_D5_PTSDF,B_D2_UST,B_D5_UST,B_D2_PWDIS,B_D5_PWDIS,B_D2_NO2,B_D5_NO2,B_D2_DWATER,B_D5_DWATER,T_DEMOGIDX_2,T_DEMOGIDX_5,T_PEOPCOLORPCT,T_LOWINCPCT,T_UNEMPPCT,T_DISABILITYPCT,T_LINGISOPCT,T_LESSHSPCT,T_UNDER5PCT,T_OVER64PCT,T_LIFEEXPPCT,T_PM25,T_OZONE,T_DSLPM,T_RSEI_AIR,T_PTRAF,T_LDPNT,T_PNPL,T_PRMP,T_PTSDF,T_UST,T_PWDIS,T_NO2,T_DWATER,T_D2_PM25,T_D5_PM25,T_D2_OZONE,T_D5_OZONE,T_D2_DSLPM,T_D5_DSLPM,T_D2_RSEI_AIR,T_D5_RSEI_AIR,T_D2_PTRAF,T_D5_PTRAF,T_D2_LDPNT,T_D5_LDPNT,T_D2_PNPL,T_D5_PNPL,T_D2_PRMP,T_D5_PRMP,T_D2_PTSDF,T_D5_PTSDF,T_D2_UST,T_D5_UST,T_D2_PWDIS,T_D5_PWDIS,T_D2_NO2,T_D5_NO2,T_D2_DWATER,T_D5_DWATER,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,EXCEED_COUNT_80,EXCEED_COUNT_80_SUP,Shape_Length,Shape_Area
15982,11001003301,DISTRICT OF COLUMBIA,DC,District of Columbia,3,3706,3706,3159,1815,1904,2993,3706,1.05091638264703,0.804653846241516,1865,0.503237992444684,294,0.079330814894765,30,0.010023387905112,107,0.028872099298435,0,0,52,0.016460905349794,131,0.035348084187804,249,0.067188343227199,0.206153846153846,6.99599650273224,59.55343,0.36300088859359,166.1069864918149,5264255.771329893,1679,0.881827731092437,0.206459926878499,0.25130130314834,27.436108475528457,8.112355696203332,5601.418088260702,10.964042749614396,0,18.916494887646554,14.48376923234729,48.3421536017634,37.01407692710974,93.5315580555857,71.61419231549493,31.527491479410912,24.139615387245485,96.6843072035268,74.02815385421948,102.98980549940899,78.85607693166858,74.61506316793917,57.13042308314765,50.44398636705746,38.62338461959278,102.98980549940899,78.85607693166858,91.42972529029167,70.0048846230119,89.3278925249976,68.39557693052888,85.12422699440947,65.1769615455628,0,0,37,9,65,7,8,2,0,8,24,7,62,18,46,89,30,92,98,71,48,98,87,85,81,0,21,12,46,28,67,56,31,19,67,57,72,54,69,58,48,33,70,59,67,53,67,51,63,50,0,0,4,1,7,1,1,1,1,1,3,1,7,2,5,9,4,10,11,8,5,11,9,9,9,1,3,2,5,3,7,6,4,2,7,6,8,6,7,6,5,4,8,6,7,6,7,6,7,6,1,1,37 %ile,9 %ile,65 %ile,7 %ile,8 %ile,2 %ile,0 %ile,8 %ile,24 %ile,7 %ile,62 %ile,18 %ile,46 %ile,89 %ile,30 %ile,92 %ile,98 %ile,71 %ile,48 %ile,98 %ile,87 %ile,85 %ile,81 %ile,0 %ile,21 %ile,12 %ile,46 %ile,28 %ile,67 %ile,56 %ile,31 %ile,19 %ile,67 %ile,57 %ile,72 %ile,54 %ile,69 %ile,58 %ile,48 %ile,33 %ile,70 %ile,59 %ile,67 %ile,53 %ile,67 %ile,51 %ile,63 %ile,50 %ile,0 %ile,0 %ile,442120,0,0,0,0,0,0.032120101878958,4.5922545e-5
15983,11001003302,DISTRICT OF COLUMBIA,DC,District of Columbia,3,2373,2345,1856,968,1015,1620,2365,1.309419619983822,1.07537525430554,1357,0.571849978929625,311,0.132622601279318,83,0.051234567901235,127,0.05369978858351,0,0,116,0.0625,235,0.099030762747577,155,0.065318162663295,0.215384615384615,7.01734196721311,59.44185,0.365373240078442,216.6830298095317,5747591.978698464,871,0.858128078817734,0.232123201779098,0.251888508720644,26.79059146728865,36.771372876433354,5673.368965113525,11.497909464401207,0,24.878972779692617,20.43212983180526,58.92388289927199,48.39188644374929,116.53834617856015,95.70839763319306,43.21084745946612,35.48738339208282,121.77602465849544,100.00989865041521,127.01370313843071,104.31139966763737,94.27821263883519,77.42701830999886,62.85214175922346,51.61801220666592,128.32312275841454,105.38677492194292,129.63254237839837,106.46215017624846,111.30066769862486,91.4068966159709,111.30066769862486,91.4068966159709,0,0,50,23,70,18,56,6,0,37,92,7,70,19,45,89,33,93,97,72,48,98,99,85,85,0,26,17,53,37,74,68,41,27,74,70,79,67,74,65,55,41,76,72,78,70,75,64,71,65,0,0,6,3,8,2,6,1,1,4,10,1,8,2,5,9,4,10,11,8,5,11,11,9,9,1,3,2,6,4,8,7,5,3,8,8,8,7,8,7,6,5,8,8,8,8,8,7,8,7,1,1,50 %ile,23 %ile,70 %ile,18 %ile,56 %ile,6 %ile,0 %ile,37 %ile,92 %ile,7 %ile,70 %ile,19 %ile,45 %ile,89 %ile,33 %ile,93 %ile,97 %ile,72 %ile,48 %ile,98 %ile,99 %ile,85 %ile,85 %ile,0 %ile,26 %ile,17 %ile,53 %ile,37 %ile,74 %ile,68 %ile,41 %ile,27 %ile,74 %ile,70 %ile,79 %ile,67 %ile,74 %ile,65 %ile,55 %ile,41 %ile,76 %ile,72 %ile,78 %ile,70 %ile,75 %ile,64 %ile,71 %ile,65 %ile,0 %ile,0 %ile,204237,0,0,0,0,0,0.01933772850536,2.12118375e-5
15984,11001003400,DISTRICT OF COLUMBIA,DC,District of Columbia,3,3800,2471,1999,1143,1349,2193,3800,1.975599248770117,1.628318187343542,2717,0.715,718,0.290570619182517,112,0.051071591427269,415,0.109210526315789,49,0.042869641294838,217,0.108554277138569,73,0.019210526315789,189,0.049736842105263,0.222564102564103,7.00588614754098,59.57577,0.359441979960074,157.73301691623047,5320674.177530757,989,0.733135656041512,0.197594751837601,0.223636106241852,31.73669573579992,25.97872217046765,6217.315637373436,12.242021908424793,0,35.560786477862116,29.30972737218375,90.87756544342541,74.90263661780293,175.82833314054045,144.92031867357522,57.29237821433341,47.221227432962706,181.75513088685082,149.80527323560585,179.7795316380807,148.1769550482623,138.29194741390822,113.98227311404794,88.90196619465527,73.27431843045937,195.58432562824163,161.20350054701063,193.60872637947153,159.57518235966708,169.9015353942301,140.0353641115446,175.82833314054045,144.92031867357522,0,0,72,56,79,52,56,38,71,60,9,4,76,18,46,89,29,92,91,70,45,99,98,86,89,0,35,23,69,56,86,84,51,36,87,85,88,83,82,78,66,54,89,87,89,85,87,83,85,83,0,0,8,6,8,6,6,4,8,7,1,1,8,2,5,9,3,10,10,8,5,11,11,9,9,1,4,3,7,6,9,9,6,4,9,9,9,9,9,8,7,6,9,9,9,9,9,9,9,9,1,1,72 %ile,56 %ile,79 %ile,52 %ile,56 %ile,38 %ile,71 %ile,60 %ile,9 %ile,4 %ile,76 %ile,18 %ile,46 %ile,89 %ile,29 %ile,92 %ile,91 %ile,70 %ile,45 %ile,99 %ile,98 %ile,86 %ile,89 %ile,0 %ile,35 %ile,23 %ile,69 %ile,56 %ile,86 %ile,84 %ile,51 %ile,36 %ile,87 %ile,85 %ile,88 %ile,83 %ile,82 %ile,78 %ile,66 %ile,54 %ile,89 %ile,87 %ile,89 %ile,85 %ile,87 %ile,83 %ile,85 %ile,83 %ile,0 %ile,0 %ile,911458,159593,0,2,8,7,0.046573326988895,1.112506395e-4
15985,11001003500,DISTRICT OF COLUMBIA,DC,District of Columbia,3,3955,2815,2503,1708,2099,2575,3955,1.772499079491024,1.055705156476973,2585,0.653603034134008,713,0.253285968028419,196,0.076116504854369,315,0.079646017699115,34,0.019906323185012,81,0.03236116660008,49,0.012389380530973,153,0.038685208596713,NA,7.0152381420765,59.60709,0.356906452805005,143.28280514213705,5253041.10278138,688,0.327775131014769,0.179634651435014,0.128464760266767,35.17706335759218,35.50037672553778,6613.833756114581,12.56212924177809,0,33.67748251032945,20.058397973062483,81.53495765658708,48.56243719794075,157.7524180747011,93.95775892645058,49.62997422574866,29.559744381355237,163.06991531317416,97.1248743958815,111.66744200793448,66.50942485804929,122.30243648488063,72.84365579691112,63.80996686167685,38.005385633171024,175.47740886961134,104.51481049122032,175.47740886961134,104.51481049122032,152.43492083622803,90.79064345701967,159.5249171541921,95.01346408292756,0,0,67,22,75,44,75,18,56,18,5,3,NA,19,46,89,28,92,63,69,36,99,99,86,90,0,34,16,65,37,83,67,46,23,83,68,75,46,79,63,55,32,86,71,86,69,84,64,82,66,0,0,7,3,8,5,8,2,6,2,1,1,NA,2,5,9,3,10,7,7,4,11,11,9,10,1,4,2,7,4,9,7,5,3,9,7,8,5,8,7,6,4,9,8,9,7,9,7,9,7,1,1,67 %ile,22 %ile,75 %ile,44 %ile,75 %ile,18 %ile,56 %ile,18 %ile,5 %ile,3 %ile,NA,19 %ile,46 %ile,89 %ile,28 %ile,92 %ile,63 %ile,69 %ile,36 %ile,99 %ile,99 %ile,86 %ile,90 %ile,0 %ile,34 %ile,16 %ile,65 %ile,37 %ile,83 %ile,67 %ile,46 %ile,23 %ile,83 %ile,68 %ile,75 %ile,46 %ile,79 %ile,63 %ile,55 %ile,32 %ile,86 %ile,71 %ile,86 %ile,69 %ile,84 %ile,64 %ile,82 %ile,66 %ile,0 %ile,0 %ile,382021,0,0,0,6,0,0.028666493461809,3.9681285e-5
15986,11001003600,DISTRICT OF COLUMBIA,DC,District of Columbia,3,4630,4619,3808,2152,2397,3547,4619,1.384559932828785,1.504309896750661,2195,0.474082073434125,1017,0.220177527603377,87,0.024527769946434,465,0.100671140939597,107,0.049721189591078,287,0.075367647058824,88,0.019006479481641,393,0.08488120950324,0.228717948717949,7.01940953551913,59.58577,0.356094737320204,131.41798723455497,5047364.216387842,1368,0.570713391739675,0.168596149964936,0.121417097671806,32.18250162146364,35.68353590223661,8017.145343275476,12.159738588782506,0,26.306638723746907,28.581888038262548,63.68975691012409,69.19825525053038,123.22583402176183,133.88358081080878,37.38311818637718,40.61636721226783,125.9949538874194,136.89220060431012,113.53391449196033,123.35341153355417,94.15007543235735,102.29307297904492,48.459597649007456,52.65084638627312,137.07143335004966,148.9266797783154,137.07143335004966,148.9266797783154,120.45671415610425,130.87496101730747,121.84127408893303,132.3792709140581,0,0,53,49,63,37,23,32,74,45,9,12,80,19,46,89,27,91,82,68,35,99,99,87,88,0,28,23,56,52,75,81,36,31,75,82,76,75,74,74,47,42,78,85,79,83,77,80,74,79,0,0,6,5,7,4,3,4,8,5,1,2,9,2,5,9,3,10,9,7,4,11,11,9,9,1,3,3,6,6,8,9,4,4,8,9,8,8,8,8,5,5,8,9,8,9,8,9,8,8,1,1,53 %ile,49 %ile,63 %ile,37 %ile,23 %ile,32 %ile,74 %ile,45 %ile,9 %ile,12 %ile,80 %ile,19 %ile,46 %ile,89 %ile,27 %ile,91 %ile,82 %ile,68 %ile,35 %ile,99 %ile,99 %ile,87 %ile,88 %ile,0 %ile,28 %ile,23 %ile,56 %ile,52 %ile,75 %ile,81 %ile,36 %ile,31 %ile,75 %ile,82 %ile,76 %ile,75 %ile,74 %ile,74 %ile,47 %ile,42 %ile,78 %ile,85 %ile,79 %ile,83 %ile,77 %ile,80 %ile,74 %ile,79 %ile,0 %ile,0 %ile,305616,0,0,0,0,5,0.022894286635795,3.17454475e-5
15987,11001003701,DISTRICT OF COLUMBIA,DC,District of Columbia,3,2143,2143,1818,1296,1366,1664,2143,1.249865499417669,1.236094214911329,1131,0.527764815678955,295,0.1376574895007,1,6.00961538462e-4,170,0.079328044797014,58,0.044753086419753,140,0.077007700770077,56,0.026131591227252,129,0.060195986934204,0.207179487179487,7.029915,59.60795,0.355461127702159,135.53135112304528,5181235.115859038,506,0.370424597364568,0.170227485293939,0.117062380957055,32.08064113301498,32.84430008958555,8771.894825690435,12.319600105285645,0,23.747444488935702,23.48579008331525,57.49381297321276,56.860333885921136,109.98816394875485,108.77629091219696,33.746368484277056,33.374543802605885,114.98762594642552,113.72066777184227,83.74098846098381,82.81831239905904,84.9908539604015,84.05440661397037,43.745292479618406,43.26329752189651,123.73668444234922,122.37332727622157,122.48681894293154,121.13723306131024,109.98816394875485,108.77629091219696,111.23802944817253,110.01238512710827,0,0,47,33,67,19,3,18,72,45,14,6,63,19,46,88,27,92,67,68,35,99,98,88,89,0,25,19,52,43,72,73,33,26,72,75,65,56,71,68,44,36,75,78,76,75,74,72,71,72,0,0,5,4,7,2,1,2,8,5,2,1,7,2,5,9,3,10,7,7,4,11,11,9,9,1,3,2,6,5,8,8,4,3,8,8,7,6,8,7,5,4,8,8,8,8,8,8,8,8,1,1,47 %ile,33 %ile,67 %ile,19 %ile,3 %ile,18 %ile,72 %ile,45 %ile,14 %ile,6 %ile,63 %ile,19 %ile,46 %ile,88 %ile,27 %ile,92 %ile,67 %ile,68 %ile,35 %ile,99 %ile,98 %ile,88 %ile,89 %ile,0 %ile,25 %ile,19 %ile,52 %ile,43 %ile,72 %ile,73 %ile,33 %ile,26 %ile,72 %ile,75 %ile,65 %ile,56 %ile,71 %ile,68 %ile,44 %ile,36 %ile,75 %ile,78 %ile,76 %ile,75 %ile,74 %ile,72 %ile,71 %ile,72 %ile,0 %ile,0 %ile,172840,0,0,0,0,0,0.016996067882546,1.79528755e-5
15988,11001003702,DISTRICT OF COLUMBIA,DC,District of Columbia,3,2953,2953,2154,1478,1637,1856,2942,2.559559353536202,1.637277967254587,1915,0.648493057907213,1614,0.546562817473755,259,0.139547413793103,312,0.106050305914344,10,0.006765899864682,114,0.052924791086351,349,0.118184896715205,98,0.033186589908568,0.207179487179487,7.0321937704918,59.66076,0.355789551823614,128.9707909902271,4962527.070470656,1119,0.683567501527184,0.160892235430018,0.116445736824792,30.60241727807909,15.085847919624609,8462.217460032063,11.650050163269045,0,48.63162771718783,31.10828137783716,117.73973026266528,75.31478649371103,227.80078246472195,145.71773908565828,69.10810254547745,44.20650511587385,232.91990117179432,148.99229502016746,227.80078246472195,145.71773908565828,171.4904766869255,109.69762380605735,89.58457737376706,57.30472885391056,253.396376000084,162.09051875820415,240.59857923240295,153.9041289219312,222.68166375764955,142.4431831511491,220.12210440411334,140.8059051838945,0,0,85,57,75,88,94,36,40,31,96,2,63,19,46,89,27,91,89,67,35,99,94,87,86,0,45,25,77,56,93,84,58,34,94,85,94,82,87,76,66,45,96,87,94,84,94,84,91,82,0,0,9,6,8,9,10,4,5,4,11,1,7,2,5,9,3,10,9,7,4,11,10,9,9,1,5,3,8,6,10,9,6,4,10,9,10,9,9,8,7,5,11,9,10,9,10,9,10,9,1,1,85 %ile,57 %ile,75 %ile,88 %ile,94 %ile,36 %ile,40 %ile,31 %ile,96 %ile,2 %ile,63 %ile,19 %ile,46 %ile,89 %ile,27 %ile,91 %ile,89 %ile,67 %ile,35 %ile,99 %ile,94 %ile,87 %ile,86 %ile,0 %ile,45 %ile,25 %ile,77 %ile,56 %ile,93 %ile,84 %ile,58 %ile,34 %ile,94 %ile,85 %ile,94 %ile,82 %ile,87 %ile,76 %ile,66 %ile,45 %ile,96 %ile,87 %ile,94 %ile,84 %ile,94 %ile,84 %ile,91 %ile,82 %ile,0 %ile,0 %ile,119532,0,0,0,8,7,0.014579361372187,1.2416464e-5
15989,11001003801,DISTRICT OF COLUMBIA,DC,District of Columbia,3,1495,1495,1268,990,1055,1277,1495,0.685690565535224,0.959174034327355,418,0.279598662207358,122,0.081605351170569,17,0.013312451057165,66,0.044147157190635,18,0.018181818181818,0,0,83,0.055518394648829,173,0.115719063545151,0.226666666666667,7.04715068306011,59.6196,0.354844407826686,128.8794655151111,5398971.66949281,596,0.564928909952607,0.167681624876846,0.111827123063619,29.879485897627973,43.91451650990648,9469.829146172407,12.319600105285645,0,13.028120745169256,18.224306652219735,31.541766014620308,44.12200557905831,60.34076976709972,84.4073150208072,18.513645269451047,25.897698926838576,63.083532029240615,88.24401115811662,56.22662637388838,78.65227081484308,46.62695845639525,65.22383433426012,23.313479228197625,32.61191716713006,67.88336598798719,94.95822939840811,67.88336598798719,94.95822939840811,60.34076976709972,84.4073150208072,61.02646033263495,85.36648905513456,0,0,16,17,44,8,11,4,54,0,54,25,79,19,46,88,27,92,82,68,34,99,99,88,89,0,15,15,33,34,53,63,18,20,53,64,50,54,60,61,30,29,56,67,58,65,53,61,52,62,0,0,2,2,5,1,2,1,6,1,6,3,8,2,5,9,3,10,9,7,4,11,11,9,9,1,2,2,4,4,6,7,2,3,6,7,6,6,7,7,4,3,6,7,6,7,6,7,6,7,1,1,16 %ile,17 %ile,44 %ile,8 %ile,11 %ile,4 %ile,54 %ile,0 %ile,54 %ile,25 %ile,79 %ile,19 %ile,46 %ile,88 %ile,27 %ile,92 %ile,82 %ile,68 %ile,34 %ile,99 %ile,99 %ile,88 %ile,89 %ile,0 %ile,15 %ile,15 %ile,33 %ile,34 %ile,53 %ile,63 %ile,18 %ile,20 %ile,53 %ile,64 %ile,50 %ile,54 %ile,60 %ile,61 %ile,30 %ile,29 %ile,56 %ile,67 %ile,58 %ile,65 %ile,53 %ile,61 %ile,52 %ile,62 %ile,0 %ile,0 %ile,148928,0,0,0,0,0,0.018700516175293,1.54688e-5
15990,11001003802,DISTRICT OF COLUMBIA,DC,District of Columbia,3,3372,3372,2984,2029,2162,2609,3372,1.245094753003931,1.149736785535608,1798,0.533214709371293,447,0.132562277580071,66,0.025297048677654,227,0.067319098457888,29,0.01429275505175,109,0.036528150134048,121,0.0358837485172,183,0.054270462633452,0.226666666666667,7.04395401639344,59.57173,0.354857345418447,121.60141440480696,5013453.8599705575,1355,0.626734505087882,0.159383579140178,0.110919023726615,28.35194687363944,21.511270787337317,9336.343113543971,12.117727650549975,0,23.65680030707469,21.84499892517656,57.27435863818083,52.88789213463799,109.56833826434594,101.17683712713354,32.37246357810221,29.89315642392582,113.30362252335773,104.62604748374036,107.07814875833807,98.87736355606232,83.4213484512634,77.03236463088577,42.33322160213366,39.09105070821069,122.01928579438525,112.67420498248963,120.77419104138131,111.52446819695402,109.56833826434594,101.17683712713354,109.56833826434594,101.17683712713354,0,0,47,28,67,18,24,12,50,21,25,5,79,19,46,88,26,91,86,67,34,98,97,88,88,0,25,18,52,40,72,70,32,23,72,72,74,65,71,65,43,33,75,74,76,72,74,69,71,69,0,0,5,3,7,2,3,2,6,3,3,1,8,2,5,9,3,10,9,7,4,11,11,9,9,1,3,2,6,5,8,8,4,3,8,8,8,7,8,7,5,4,8,8,8,8,8,7,8,7,1,1,47 %ile,28 %ile,67 %ile,18 %ile,24 %ile,12 %ile,50 %ile,21 %ile,25 %ile,5 %ile,79 %ile,19 %ile,46 %ile,88 %ile,26 %ile,91 %ile,86 %ile,67 %ile,34 %ile,98 %ile,97 %ile,88 %ile,88 %ile,0 %ile,25 %ile,18 %ile,52 %ile,40 %ile,72 %ile,70 %ile,32 %ile,23 %ile,72 %ile,72 %ile,74 %ile,65 %ile,71 %ile,65 %ile,43 %ile,33 %ile,75 %ile,74 %ile,76 %ile,72 %ile,74 %ile,69 %ile,71 %ile,69 %ile,0 %ile,0 %ile,207186,0,0,0,0,0,0.020656023145974,2.15208755e-5
15991,11001003901,DISTRICT OF COLUMBIA,DC,District of Columbia,3,2642,2642,2171,1743,1981,2160,2642,0.967196536005032,1.284279336428174,1230,0.46555639666919,189,0.071536714610144,2,9.25925925926e-4,236,0.089326267978804,19,0.010900745840505,10,0.004606172270843,185,0.07002271006813,167,0.063209689629069,0.267692307692308,7.0384625136612,59.69448,0.35503456114529103,117.98985957113165,4816334.297180446,1252,0.632004038364462,0.152240560354942,0.110422423105767,27.54280064055952,1.216392027726143,9024.892736927935,10.546628892559378,0,18.37673418409561,24.401307392135312,45.45823719223651,60.36112881212419,85.11329516844283,113.01658160567935,25.147109936130835,33.39126274713254,88.01488477645793,116.86941961496387,83.17890209643276,110.448022932823,64.80216791233715,86.04671554068769,32.884682224171094,43.66549743855793,94.78526052849315,125.85937496996108,49.32702333625664,65.49824615783689,85.11329516844283,113.01658160567935,76.40852634439753,101.45806757782577,0,0,32,36,62,6,3,24,46,3,73,6,95,19,47,88,26,91,86,67,34,98,51,88,79,0,20,20,44,46,64,75,25,26,64,76,65,70,66,68,37,36,67,79,49,50,66,74,59,69,0,0,4,4,7,1,1,3,5,1,8,1,11,2,5,9,3,10,9,7,4,11,6,9,8,1,3,3,5,5,7,8,3,3,7,8,7,8,7,7,4,4,7,8,5,6,7,8,6,7,1,1,32 %ile,36 %ile,62 %ile,6 %ile,3 %ile,24 %ile,46 %ile,3 %ile,73 %ile,6 %ile,95 %ile,19 %ile,47 %ile,88 %ile,26 %ile,91 %ile,86 %ile,67 %ile,34 %ile,98 %ile,51 %ile,88 %ile,79 %ile,0 %ile,20 %ile,20 %ile,44 %ile,46 %ile,64 %ile,75 %ile,25 %ile,26 %ile,64 %ile,76 %ile,65 %ile,70 %ile,66 %ile,68 %ile,37 %ile,36 %ile,67 %ile,79 %ile,49 %ile,50 %ile,66 %ile,74 %ile,59 %ile,69 %ile,0 %ile,0 %ile,120715,0,0,0,0,0,0.019407205729406,1.2539493e-5
15992,11001003902,DISTRICT OF COLUMBIA,DC,District of Columbia,3,1811,1811,1262,953,1303,1248,1811,0.947423843016032,1.284175007550465,878,0.484815019326339,95,0.052457205963556,13,0.010416666666667,41,0.02263942573164,86,0.090241343126967,47,0.037242472266244,25,0.013804527885146,151,0.083379348426284,0.267692307692308,7.05320221311475,59.61936,0.354563871355873,116.72677064139467,4741420.4261677,1133,0.869531849577897,0.148904201190219,0.10664858468843,25.963398481105266,0,9457.897357360129,11.10751545393856,0,18.001053017304603,24.399325143458835,43.58149677873745,59.07205034732139,83.37329818541079,113.00740066444092,23.68559607540079,32.10437518876162,86.21556971445888,116.85992568709231,92.8475366155711,125.84915073994557,62.5299736390581,84.75555049833069,31.26498681952905,42.377775249165346,92.8475366155711,125.84915073994557,0,0,83.37329818541079,113.00740066444092,77.6887551273146,105.30235061913812,0,0,31,36,64,4,8,1,84,21,6,12,95,19,46,88,25,91,98,66,33,98,0,88,82,0,20,20,43,45,63,75,23,25,63,76,69,76,65,68,35,35,66,79,0,0,65,74,60,71,0,0,4,4,7,1,1,1,9,3,1,2,11,2,5,9,3,10,11,7,4,11,1,9,9,1,3,3,5,5,7,8,3,3,7,8,7,8,7,7,4,4,7,8,1,1,7,8,7,8,1,1,31 %ile,36 %ile,64 %ile,4 %ile,8 %ile,1 %ile,84 %ile,21 %ile,6 %ile,12 %ile,95 %ile,19 %ile,46 %ile,88 %ile,25 %ile,91 %ile,98 %ile,66 %ile,33 %ile,98 %ile,0 %ile,88 %ile,82 %ile,0 %ile,20 %ile,20 %ile,43 %ile,45 %ile,63 %ile,75 %ile,23 %ile,25 %ile,63 %ile,76 %ile,69 %ile,76 %ile,65 %ile,68 %ile,35 %ile,35 %ile,66 %ile,79 %ile,0 %ile,0 %ile,65 %ile,74 %ile,60 %ile,71 %ile,0 %ile,0 %ile,266513,11205,0,0,0,0,0.027089378120044,2.8848617e-5
15993,11001004001,DISTRICT OF COLUMBIA,DC,District of Columbia,3,4250,4250,3712,2439,2498,3442,4250,0.668883223768347,0.701976961539377,1292,0.304,257,0.060470588235294,26,0.007553747821034,292,0.068705882352941,0,0,15,0.004040948275862,217,0.051058823529412,445,0.104705882352941,0.17025641025641,7.05939636612022,59.58103,0.355489049439948,121.28831844544531,5175090.7912583295,2129,0.852281825460368,0.155419172379229,0.103955418013808,26.81462119519209,4.401976949495367,10304.231709349864,12.264624452385252,0,13.377664475366943,14.039539230787549,30.768628293343976,32.29094023081136,59.53060691538291,62.475949577004585,17.39096381797703,18.25140100002381,61.53725658668795,64.58188046162272,64.8816727055297,68.09176526931961,44.81517599247927,47.032456423138285,21.404263160587114,22.463262769260076,65.55055592929804,68.79374223085898,51.50400823016274,54.05222603853206,58.86172369161456,61.77397261546522,59.53060691538291,62.475949577004585,0,0,15,5,47,5,6,12,0,2,48,20,26,20,46,89,26,92,97,67,32,98,77,88,89,0,15,11,32,24,52,50,17,14,52,51,55,47,60,56,29,26,55,53,50,43,52,46,51,49,0,0,2,1,5,1,1,2,1,1,5,3,3,3,5,9,3,10,11,7,4,11,8,9,9,1,2,2,4,3,6,6,2,2,6,6,6,5,7,6,3,3,6,6,6,5,6,5,6,5,1,1,15 %ile,5 %ile,47 %ile,5 %ile,6 %ile,12 %ile,0 %ile,2 %ile,48 %ile,20 %ile,26 %ile,20 %ile,46 %ile,89 %ile,26 %ile,92 %ile,97 %ile,67 %ile,32 %ile,98 %ile,77 %ile,88 %ile,89 %ile,0 %ile,15 %ile,11 %ile,32 %ile,24 %ile,52 %ile,50 %ile,17 %ile,14 %ile,52 %ile,51 %ile,55 %ile,47 %ile,60 %ile,56 %ile,29 %ile,26 %ile,55 %ile,53 %ile,50 %ile,43 %ile,52 %ile,46 %ile,51 %ile,49 %ile,0 %ile,0 %ile,271037,2414,0,0,0,0,0.023596093088547,2.84033425e-5
