GEOID,total_score,crime_burden_per_1000,percentile
11001004001,0.458,0.09571577847439916,0.10679611650485436
11001004002,1.0976000000000001,0.3194412107101281,0.3786407766990291
11001003600,4.4896,0.9241663235899548,0.7330097087378641
11001004201,0.576,0.14876033057851237,0.18932038834951456
11001004202,0.6254,0.2404459823144944,0.2815533980582524
11001007407,4.6394,1.3811848764513248,0.8543689320388349
11001006801,0.9028,0.357120253164557,0.4174757281553398
11001010700,4.1634,2.349548532731377,0.9805825242718447
11001009604,2.091,0.8377403846153847,0.6990291262135923
11001000201,0.024,0.006042296072507553,0.014563106796116505
11001000300,0.826,0.12699876998769988,0.1553398058252427
11001000400,0.09140000000000001,0.06171505739365294,0.07281553398058252
11001000502,0.38280000000000003,0.10692737430167598,0.13592233009708737
11001004600,6.8574,2.1639002840012624,0.9660194174757282
11001004801,6.4478,2.0547482472912684,0.9563106796116505
11001004802,2.2576,0.6549463301421526,0.6067961165048543
11001004902,2.5534,0.7227285592980469,0.6359223300970874
11001007401,3.2168,2.1093770491803276,0.9611650485436893
11001007403,3.7922000000000002,1.3998523440383908,0.8592233009708737
11001005503,0.122,0.05407801418439716,0.05339805825242718
11001005801,0.5462,0.2741967871485944,0.33495145631067963
11001009804,5.2056000000000004,1.9562570462232243,0.9466019417475728
11001001702,1.0482,0.285846741205345,0.3446601941747573
11001010300,1.612,0.3773408239700375,0.4320388349514563
11001001804,3.077,0.5302429777701189,0.5339805825242718
11001001901,2.613,0.6191943127962085,0.5970873786407767
11001001902,1.4374,0.5843089430894309,0.5825242718446602
11001005001,0.862,0.42971086739780656,0.47572815533980584
11001009807,4.851,1.3804780876494023,0.8495145631067961
11001009802,3.6746,1.7666346153846153,0.9271844660194175
11001009803,4.463,1.415477323184269,0.8737864077669902
11001002002,3.2912,0.7412612612612612,0.6407766990291263
11001002101,3.8002000000000002,0.6675215176532584,0.616504854368932
11001002900,3.7328,0.8388314606741573,0.7038834951456311
11001003100,5.2528,1.3732810457516338,0.8446601941747572
11001003200,4.0832,0.7850797923476254,0.6796116504854369
11001003400,1.9762,0.3941364180295174,0.45145631067961167
11001003500,6.8704,1.4159934047815332,0.8786407766990292
11001005302,0.636,0.24863174354964815,0.2961165048543689
11001004402,7.6666,3.045927691696464,0.9951456310679612
11001010602,5.6496,1.0736602052451538,0.7815533980582524
11001000804,0.164,0.04154002026342452,0.04854368932038835
11001003902,0.264,0.11609498680738786,0.15048543689320387
11001000903,0.248,0.05977343938298385,0.06796116504854369
11001001004,0.446,0.0968512486427796,0.11650485436893204
11001000102,2.1182,0.6383966244725737,0.6019417475728155
11001003701,1.326,0.5760208514335361,0.5776699029126213
