X,Y,NAME,WEB_URL,LINE,ADDRESS,TRAININFO_URL,GIS_ID,SE_ANNO_CAD_DATA,OBJECTID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-8565673.027616,4707242.96403767,Minnesota Ave,https://www.wmata.com/rider-guide/stations/minnesota-ave.cfm,orange,400 MINNESOTA AVENUE NE,https://www.wmata.com/js/nexttrain/nexttrain.html#D09|Minnesota Ave,MetroStnPt_22,,22,{97E82A85-1491-4C3A-9A2D-EA2CFEF08950},,,,
-8574040.65549347,4707117.89017593,Gallery Pl-Chinatown,https://www.wmata.com/rider-guide/stations/gallery-place.cfm,"red, green, yellow",630 H STREET NW,"https://www.wmata.com/js/nexttrain/nexttrain.html#B01,F01|Gallery Pl-Chinatown",MetroStnPt_23,,23,{BA678B62-E9CF-44E7-BF7B-52694B31CA14},,,,
-8574726.67395321,4707117.55592726,Metro Center,https://www.wmata.com/rider-guide/stations/metro-center.cfm,"red, blue, orange, silver",607 13TH STREET NW,"https://www.wmata.com/js/nexttrain/nexttrain.html#A01,C01|Metro Center",MetroStnPt_24,,24,{FD98768C-31A3-4D8B-9B44-385BC5395F8E},,,,
-8572426.40011682,4707039.11047,Union Station,https://www.wmata.com/rider-guide/stations/union-station.cfm,red,701 1ST STREET NE,https://www.wmata.com/js/nexttrain/nexttrain.html#B03|Union%20Station,MetroStnPt_25,,25,{CFFDA30A-AED7-4EA7-9D01-06CF55825FC0},,,,
-8573453.28537188,4706799.42638213,Judiciary Sq,https://www.wmata.com/rider-guide/stations/judiciary-sq.cfm,red,450 F STREET NW,https://www.wmata.com/js/nexttrain/nexttrain.html#B02|Judiciary Square,MetroStnPt_26,,26,{359D2D63-82AA-4975-8257-B3195DDE14F2},,,,
-8574040.54387247,4706452.56707492,Archives-Navy Mem'l,https://www.wmata.com/rider-guide/stations/archives.cfm,"green, yellow",701 PENNSYLVANIA AVENUE NW,https://www.wmata.com/js/nexttrain/nexttrain.html#F02|Archives-Navy Memorial-Penn Quarter,MetroStnPt_27,,27,{86D5BEBD-232C-4DFC-B801-140A64501628},,,,
-8574732.68530906,4706383.29202841,Federal Triangle,https://www.wmata.com/rider-guide/stations/federal-triangle.cfm,"blue, orange, silver",302 12TH STREET NW,https://www.wmata.com/js/nexttrain/nexttrain.html#D01|Federal Triangle,MetroStnPt_28,,28,{665ACFE8-FB9D-4B02-93BD-B22E7CF6088F},,,,
-8564739.85094908,4706067.89753531,Benning Road,https://www.wmata.com/rider-guide/stations/benning-rd.cfm,"blue, silver",4500 BENNING ROAD NE,https://www.wmata.com/js/nexttrain/nexttrain.html#G01|Benning Road,MetroStnPt_29,,29,{0DA81ECE-F8EB-462E-8266-198904F00F96},,,JLAY,2024/03/19 19:36:11+00
-8574725.36444348,4705644.99547212,Smithsonian,https://www.wmata.com/rider-guide/stations/smithsonian.cfm,"blue, orange, silver",1200 INDEPENDENCE AVENUE SW,https://www.wmata.com/js/nexttrain/nexttrain.html#D02|Smithsonian,MetroStnPt_30,,30,{32205E38-F5C9-4A51-978D-F3588662B98C},,,,
-8569050.59193331,4705457.70276832,Stadium Armory,https://www.wmata.com/rider-guide/stations/stadium-armory.cfm,"blue, orange, silver",192 19TH STREET SE,https://www.wmata.com/rider-guide/stations/stadium-armory.cfm,MetroStnPt_31,,31,{EC50EECF-AB43-4AF1-AC92-18B8BFAA87C1},,,,
-8573367.48692163,4705223.63132168,Federal Center SW,https://www.wmata.com/rider-guide/stations/federal-ctr-sw.cfm,"blue, orange, silver",401 3RD STREET SW,https://www.wmata.com/js/nexttrain/nexttrain.html#D04|Federal Center SW,MetroStnPt_32,,32,{DA4243E0-B96D-494D-B7F8-EE6917C9B749},,,JLAY,2024/03/19 19:36:11+00
-8572173.16232883,4705222.22213222,Capitol South,https://www.wmata.com/rider-guide/stations/capitol-south.cfm,"blue, orange, silver",355 1ST STREET SE,https://www.wmata.com/js/nexttrain/nexttrain.html#D05|Capitol South,MetroStnPt_33,,33,{348B35F9-1880-4E4C-B86D-A8C43256EBFA},,,,
-8574039.88659281,4705190.07743124,L'Enfant Plaza,https://www.wmata.com/rider-guide/stations/lenfant-plaza.cfm,"green, yellow, orange, blue, silver",600 MARYLAND AVENUE SW,"https://www.wmata.com/js/nexttrain/nexttrain.html#F03,D03|L'Enfant Plaza",MetroStnPt_34,,34,{7871ACA3-9773-4098-BBC8-B46215E93440},,,JLAY,2024/03/19 21:11:35+00
-8571155.8918621,4705159.26388851,Eastern Market,https://www.wmata.com/rider-guide/stations/eastern-market.cfm,"blue, orange, silver",701 PENNSYLVANIA AVENUE SE,https://www.wmata.com/js/nexttrain/nexttrain.html#D06|Eastern Market,MetroStnPt_35,,35,{07BD794B-4298-4E9C-9B6F-9E82C6587B68},,,,
-8569986.3903827,4704678.91139804,Potomac Ave,https://www.wmata.com/rider-guide/stations/potomac-ave.cfm,"blue, orange, silver",700 14TH STREET SE,https://www.wmata.com/js/nexttrain/nexttrain.html#D07|Potomac Ave,MetroStnPt_36,,36,{0AC6D579-02B5-4635-B34C-171A7EA85F66},,,,
-8572167.17678031,4703995.07274476,Navy Yard - Ballpark,https://www.wmata.com/rider-guide/stations/navy-yard.cfm,green,200 M STREET SE,https://www.wmata.com/js/nexttrain/nexttrain.html#F05|Navy Yard-Ballpark,MetroStnPt_37,,37,{07B7A460-483E-42E6-A275-511E32B210F5},,,,
-8573549.71602008,4703992.32465403,Waterfront,https://www.wmata.com/rider-guide/stations/waterfront.cfm,green,399 M STREET SW,https://www.wmata.com/js/nexttrain/nexttrain.html#F04|Waterfront,MetroStnPt_38,,38,{E082182B-919E-4457-A2E9-76A0FEF0D2C5},,,,
-8571085.71722663,4702062.29300998,Anacostia,https://www.wmata.com/rider-guide/stations/anacostia.cfm,green,1101 HOWARD ROAD SE,https://www.wmata.com/js/nexttrain/nexttrain.html#F06|Anacostia,MetroStnPt_39,,39,{73E9DF18-BAFD-4420-9DF8-ACC325949ABC},,,,
-8570322.19806411,4699588.52589848,Congress Heights,https://www.wmata.com/rider-guide/stations/congress-hghts.cfm,green,1290 ALABAMA AVENUE SE,https://www.wmata.com/js/nexttrain/nexttrain.html#F07|Congress Heights,MetroStnPt_40,,40,{0A34BDD5-6ECD-4E16-AE93-9C83F10D67BF},,,,
