NAME,ADDRESS,USE_TYPE,PROPID,ACTIVE,DIAMOND60,DIAMOND90,BBCOURT,FBFIELD,SOCCERJR,SOCCERREG,TENNISCT,VOLLEYB,SKATEPARK,WOODLAND,VSTRSHCAN,DMPSTR,PICNIC,PLYGRD,TOTLOT,INSWIM,OUTSWIM,SPRAYPARK,UTILBX,TRAFPOLE,UTILPOLE,BUSSTP,LOCK_,NMZ,DRINKFOUNT,BENCHES,ATHLIGHT,LNDSCPBED,TOTIMPV,SIGNS,TURFONLY,FENCE,TOPO,COMMGAR,WARD,AREA_,ZONE_,PARKPARTN,RES_NUM,ADJ_SCHOOL_SITE,SSL,COMMENTS,DATE_ACQUIRED,SE_ANNO_CAD_DATA,GLOBALID,CREATED,EDITED,OBJECTID,SHAPEAREA,SHAPELEN
Keene Playground,Rock Creek Church Rd. NE and Hamilton St. NE,FIELD,DPR_0497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,0497,,Multiple,"KEENE PLAYGROUND.  TRANSFERS OF JURISDICTION (TOJ) FOR RECREATION AND RELATED PURPOSES.  BOUNDARY CONSIST OF MULTIPLE LOTS (PARCELS 124/103, 125/15 & 16;  SQ.3700, LOT 802; SQ.3702, LOT 804",1972/12/14 05:00:00+00,,{DC8066B1-86ED-45FE-8AF2-7374E3E6B946},,,30,0,0
Triangle Park RES 0574,"New Hampshire Ave., between Ingraham & 1st Sts., NW",TRIANGLE,DPR_0574,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10,,0574,none,RES 05740000,TOJ for Comp Plan,,,{F4BD1E5A-686B-40DF-BB9B-B6326DD1EDD5},,,31,0,0
Triangle Park RES 312H,"Illinois Ave.,9th St.,Ingraham St.,NW",TRIANGLE,DPR_312H,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,09,,312H,none,RES 312H0000,TOJ for Comp Plan,,,{577DBD31-77DF-4E34-A2C3-2BCF67E82D9D},,,33,0,0
Galen Tait Memorial Park,"Western Ave.,48th St.,Ellicott St.,NW",TRIANGLE,DPR_0454,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,01,,0454,none,RES 04540000,TOJ for Comp Plan,1972/12/14 05:00:00+00,,{586CF265-069C-45DE-AD7A-7F36C33275DF},,,34,0,0
Triangle Park RES 312C,"Illinois Ave.,9th St.,Gallatin St.,NW",TRIANGLE,DPR_312C,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,09,,312C,none,RES 312C0000,TOJ for Comp Plan,,,{3D24B0A3-2383-41EB-89F2-B908E24026F6},,,35,0,0
Murch Field,Davenport and Reno Rd.,PARK,DPR_0515,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,3,,01,,0515,,1980    0814,TOJ TO DC Subdivision Book 106 Page 25,,,{BFB1B56E-E7B5-414E-AC04-FEFC5611E67D},,,36,0,0
Hamilton,"13th and 14th Sts., to Hamilton & Gallatin Sts., NW",REC CENTER GROUNDS,DPR_0493,Y,1,0,2,0,0,0,0,0,N,N,3,0,1,1,1,0,0,N,0,0,0,N,,N,0,4,Nne,Nne,RpAIR,RpLACE,RpAIR,ChnLnk,Flt,N,4,,09,N,0493,none,2805    0806,Subdivision Book 158 Page 11 (TOJ for Recreation Purposes),1971/12/18 05:00:00+00,,{AA08599F-6FA2-45BA-8856-E4E96582F29D},,,37,0,0
Triangle Park RES 0547,"Kansas Ave., between Gallatin & 4th Sts., NW",TRIANGLE,DPR_0547,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10,,0547,none,RES 05470000,TOJ for Comp Plan,,,{945A3371-251E-48ED-BFC1-786C82116673},,,38,0,0
Triangle Park RES 312E,"Arkansas Ave.,Georgia Ave.,Farragut St.,NW",TRIANGLE,DPR_312E,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,09,,312E,none,RES 312E0000,TOJ for Comp Plan,,,{A9B8EEB6-5743-43A3-B8D9-EAAAEE0A5967},,,39,0,0
Triangle Park RES 0526,"Kansas Ave.,5th St.,Farragut St.,NW",TRIANGLE,DPR_0526,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,09,,0526,none,RES 05260000,TOJ for Comp Plan,,,{1EE621AF-A822-478D-B356-BE2EB753F200},,,40,0,0
