NAME,ADDRESS,USE_TYPE,PROPID,ACTIVE,DIAMOND60,DIAMOND90,BBCOURT,FBFIELD,SOCCERJR,SOCCERREG,TENNISCT,VOLLEYB,SKATEPARK,WOODLAND,VSTRSHCAN,DMPSTR,PICNIC,PLYGRD,TOTLOT,INSWIM,OUTSWIM,SPRAYPARK,UTILBX,TRAFPOLE,UTILPOLE,BUSSTP,LOCK_,NMZ,DRINKFOUNT,BENCHES,ATHLIGHT,LNDSCPBED,TOTIMPV,SIGNS,TURFONLY,FENCE,TOPO,COMMGAR,WARD,AREA_,ZONE_,PARKPARTN,RES_NUM,ADJ_SCHOOL_SITE,SSL,COMMENTS,DATE_ACQUIRED,SE_ANNO_CAD_DATA,GLOBALID,CREATED,EDITED,OBJECTID,SHAPEAREA,SHAPELEN
Bruce Monroe Community Park,"Irving & Georgia Avenue, NW",PARK,DPR_0025,Y,,,2,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,none,,2890    0849,,,,{3B4AD298-ED8F-4125-B95B-BF29D3726308},,,83,0,0
Hobart Twins Park,"Hobart Pl. and Harvard St., west of Georgia Ave., NW",PARK,DPR_0331,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,1,,04,,"0331,331A",none,Multiple Lots,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),1972/12/14 05:00:00+00,,{1ED84BB7-6059-43AE-81B9-92781E2F9084},,,85,0,0
Langdon Park,"18th St. & Mills Ave., to Hamlin & Franklin Sts., NE",REC CENTER GROUNDS,DPR_0446,Y,1,0,2,0,0,0,4,0,Y,Y,0,1,15,1,1,0,1,N,0,0,0,,,Y,1,15,,RpLACE,RpLACE,RpLACE,Pr,Nne,Stp,N,5,,11,N,0446,Langdon Elementary School,RES 04460000,Subdivision Books (118 & 139) Pages (198 & 21) (TOJ to DC for Recreation purposes),1969/01/22 05:00:00+00,,{AB543F1B-1DB2-42B7-A7CD-61727C47F39C},,,86,0,0
Bishop Lalossu Memorial Park,"Massachusetts Ave.,36th St.,Garfield St.,NW",TRIANGLE,DPR_0330,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,02,,0330,none,1942W   0800,TOJ for Comp Plan,2010/01/01 05:00:00+00,,{7308AF0F-7BD9-4910-A3BB-569634A184C8},,,87,0,0
Triangle Park RES 313F,"Girard St.,16th St.,Brentwood Rd.,NE",TRIANGLE,DPR_313F,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,10,,313F,none,RES 313F0000,TOJ for Comp Plan,,,{10E3E8A9-09CB-4E56-89B9-B9EDD8CB28F0},,,88,0,0
Triangle Park RES 309H,"Quarry Rd.,18th St.,Harva Rd. St.,NW",TRIANGLE,DPR_309H,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,04,,309H,none,RES 309H0000,TOJ for Comp Plan,,,{707EA980-723D-4460-B445-55CBAC0602FF},,,89,0,0
Palisades,"Potomac and Arizona Aves., NW",REC CENTER GROUNDS,DPR_0504,Y,1,0,2,0,0,0,3,0,N,Y,0,1,5,1,1,0,0,N,0,0,0,N,,Y,1,21,RpLACE,RpAIR,RpAIR,RpLACE,Pr,ChnLnk,Flt,N,3,,03,,0504,none,1415S   0802,Subdivision Book 158 Page 11 (TOJ for Recreation Purposes),1971/10/18 04:00:00+00,,{4DE8C439-1B44-494E-A547-EE6BE3E5C0F7},,,90,0,0
Triangle Park RES 0329,"Massachusetts Ave.,36th St.,Fulton,NW",TRIANGLE,DPR_0329,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,03,,0329,none,RES 03290000,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),,,{B35138F5-3BFA-4601-858E-6BB4B15D5D45},,,91,0,0
Triangle Park RES 0674,"Lincoln Rd.,4th St.,Franklin St.,NE",TRIANGLE,DPR_0674,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,10,,0674,none,RES 06740000,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),,,{83EFB5AA-1E70-4E27-88CB-53929FC07B83},,,92,0,0
Triangle Park RES 0532,"Woodley Rd. & 29th St., NW",TRIANGLE,DPR_0532,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,02,,0532,none,RES 05320000,TOJ for Comp Plan,,,{C7C59DA8-4FEF-45B6-B203-38A8AE5EC590},,,93,0,0
Triangle Park RES 0328,"Massachusetts Ave.,35th St.,Fulton,NW",TRIANGLE,DPR_0328,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,02,,0328,none,RES 03280000,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),,,{3B739DE7-90A1-4436-8787-7367BD06108B},,,94,0,0
Noyes Park,"1000 Franklin Street, NE",PARK,DPR_0037,Y,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,0,0,,,,0,0,,,,,,ChnLnk,,N,5,,10,,none,Noyes Elementary School,3874    0801,,,,{E810E08C-A6AE-4AEE-91AB-4681E905DFEF},,,95,0,0
14th and Girard Park,"14th and Girard Sts., NW",PARK,DPR_0038,Y,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,1,,04,,none,none,2860    0831,,2011/01/01 05:00:00+00,,{0F8C07C9-4D7F-4ABD-A540-83C765B4D536},,,96,0,0
Theodore Hagans,"3201 Fort Lincoln Drive, NE",REC CENTER GROUNDS,DPR_0009,Y,2,0,2,0,0,0,8,0,N,Y,0,1,1,1,0,0,1,Y,3,0,0,N,,Y,1,68,Nw,RpAIR,RpAIR,RpLACE,Pr,ChnLnk,MdSlp,N,5,,11,N,none,Marshall Education Center,4327    1156,Need to identify TOJ documentation,,,{4CA1D64F-671D-466C-B95D-3C96B6261F2E},,2024/08/26 23:01:34+00,97,0,0
Edgewood,"Douglas St., between Franklin St. and Lincoln Rd., NE",REC CENTER GROUNDS,DPR_0534,Y,0,2,3,0,0,0,2,0,N,N,2,0,1,1,0,0,0,N,0,0,0,N,,N,1,0,RpLACE,Nne,RpAIR,RpLACE,Pr,ChnLnk,Flt,N,5,,10,N,0534,Shaed Elementary School,RES 05340000,Subdivision Book 158 Page 11 (TOJ for Recreation Purposes),1971/10/18 04:00:00+00,,{0B7D3730-CB1E-47EC-8873-6E5407938E24},,,98,0,0
Columbia Heights,1480 GIRARD STREET NW,REC CENTER GROUNDS,DPR_0063,Y,0,0,1,0,0,0,0,0,N,N,6,0,3,1,1,0,0,Y,0,0,0,N,,N,0,11,Nne,Pr,Nw,RpLACE,RpLACE,Ir,Flt,N,1,,04,N,none,none,2667    0074,,,,{A6BF6690-DF8A-4FCE-97A3-A0CB71B7ADEE},,2024/08/26 22:26:47+00,99,0,0
Triangle Park RES 0376,"Rhode Island Ave.,14th St.,Brentwood Rd.,NE",TRIANGLE,DPR_0376,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,10,,0376,none,RES 03760000,TOJ for Comp Plan,,,{F63A488B-CF46-450B-B6FD-1F330A1D68DB},,,100,0,0
Walter Pierce Park,"Adams Mill and Ontario Rds., NW",PARK,DPR_0001,Y,,0,1,0,0,1,0,0,N,Y,9,0,6,1,1,0,0,N,0,0,0,Y,,N,1,7,,Pr,Nne,RpLACE,Pr,Ir,Flt,N,1,,04,Y,none,,2547    0810,,1972/12/14 05:00:00+00,,{30DC0E05-7308-4AE8-9BFD-07441E5401EC},,,101,0,0
Triangle Park RES 0513,"6th St., between Evarts & Edgewood Sts., NE",TRIANGLE,DPR_0513,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,10,,0513,none,RES 05130000,TOJ for Comp Plan,,,{725431DB-647E-4DF5-B5ED-0666078CB6AF},,,102,0,0
Banneker,"Georgia Ave. and Euclid St., NW",REC CENTER GROUNDS,DPR_0506,Y,1,1,2,0,0,0,8,0,N,N,5,2,0,1,0,0,2,,0,0,0,,,,1,11,RpAIR,RpAIR,,RpLACE,Pr,ChnLnk,MdSlp,N,1,,04,,0506,Benjamin Banneker High School,RES 05060000,Subdivision Books (36 & 99) Pages (23 & 9) (TOJ to DC for Recreation & School purposes),1977/01/01 05:00:00+00,,{E80700B8-AFE0-4649-BA10-1E72DE90514D},,,103,0,0
Justice Park,"14th and Euclid Sts., NW",PARK,DPR_0026,Y,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,N,1,,04,,none,none,2665    0046,,2008/03/12 04:00:00+00,,{85662345-4574-4877-A45F-9976282CFBD0},,,104,0,0
Triangle Park RES 313D,"Bladensburg Rd.,30th St.,Douglas St.,NE",TRIANGLE,DPR_313D,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,11,,313D,none,RES 313D0000,TOJ for Comp Plan,,,{51AB21B4-2AE4-4650-9BC3-E0744488915C},,,105,0,0
Glover Park,4001 CALVERT STREET NW,REC CENTER GROUNDS,DPR_0015,Y,1,0,0,0,0,0,0,0,N,N,2,0,4,1,1,0,0,N,0,0,0,Y,,N,0,0,Nne,RpLACE,Nne,RpLACE,RpAIR,ChnLnk,Flt,N,3,,03,,none,Stoddert Elementary School,1808    0801,"Subdivision Books (88,92,98,100,102,110) Pages (9,146,3,94,149,2); Survey Book 97, Page 131",,,{8D6BE361-1D60-4912-BFBA-BBA986A47A10},,2024/08/26 22:26:47+00,106,0,0
Euclid Street Garden,"14th and Euclid Sts., NW",,DPR_0060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,none,,2664    0031,No full address but ADDRESS_ID is 307971 and 310213,,,{CBBD2EFB-346F-4BF8-84C2-05BB6AAFD089},,,107,0,0
Triangle Park RES 313E,"Bladensburg Rd.,28th St.,Douglas St.,NE",TRIANGLE,DPR_313E,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,11,,313E,none,RES 313E0000,TOJ for Comp Plan,,,{A7EEB0CA-0458-4A70-828D-C4A6CD31FE00},,,108,0,0
Unity Park,"Columbia Rd.,Champlain St.,Euclid St.,NW",TRIANGLE,DPR_306D,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,04,,306D,none,RES 306D0000,TOJ for Comp Plan,1972/12/14 05:00:00+00,,{D450193D-6C40-4EE8-A288-D67A0B5367A6},,,109,0,0
Triangle Park RES 0393,"Lincoln Rd.,2nd St. ,Channing St.,NE",TRIANGLE,DPR_0393,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,10,,0393,none,RES 03930000,TOJ for Comp Plan,,,{FAFCD657-96F2-40B7-A970-C909F96B6D0E},,,110,0,0
Rita Bright Community Center,"2500 14th St., NW",REC CENTER GROUNDS,DPR_0024,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChnLnk,,,1,,,,none,none,2662    0205,,,,{DFB3ABDF-AD59-40A3-9053-58A9114F4C27},,,111,0,0
Guy Mason,"Calvert and 36th Sts., NW",REC CENTER GROUNDS,DPR_0014,Y,1,0,0,0,0,0,0,0,N,N,5,1,5,1,1,0,0,N,0,0,0,N,,N,0,12,Nw,Gd,Nw,RpLACE,Gd,Ir,Flt,N,3,,03,,none,none,1299    0974,,,,{7F96B08A-A132-49AD-AE33-EE5CA19BFD19},,,112,0,0
Dakota Park,"South Dakota Ave., Adams and 33rd Sts., NE",PARK,DPR_0644,Y,1,0,2,0,0,0,1,0,N,N,3,0,0,1,1,0,0,N,0,0,0,,,Y,0,3,Nne,,Nw,RpLACE,Gd,Nne,MdSlp,N,5,,11,N,0644,none,RES 06440000,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),1972/11/14 05:00:00+00,,{CE3C8011-130B-4592-BF6D-DA6196A28690},,,113,0,0
Brentwood Recreation Center,"15th & Downing Sts., NE",REC CENTER GROUNDS,DPR_0673,Y,1,0,1,0,0,0,0,0,N,N,8,0,12,1,1,0,0,N,0,0,0,N,,Y,0,0,Nne,Gd,Nw,Nw,Gd,ChnLnk,Flt,N,5,,11,N,0673,none,RES 06730000,Subdivision Book 162 Page 1 (TOJ for Recreation Purposes),1956/01/01 05:00:00+00,,{4D919A38-E5CC-42E2-9535-FFE02C027ACD},,,114,0,0
Loomis Park,"Bryant and Adams Sts., to Lawrence and 19th Sts., NE",CIRCLE,DPR_0313,Y,0,0,0,0,0,0,0,0,N,Y,0,0,0,0,0,0,0,N,0,0,0,N,,Y,0,0,Nne,,,RpLACE,Gd,Nne,MdSlp,N,5,,11,N,0313,none,RES 03130000,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),1972/12/14 05:00:00+00,,{5997E66F-3676-4E1B-B42A-5DF499312023},,,115,0,0
Kalorama Park,"Kalorama Rd., between Columbia Rd. & 19th St., NW",REC CENTER GROUNDS,DPR_0655,Y,0,0,2,0,0,0,0,0,N,N,3,1,0,1,1,0,0,N,0,0,0,N,,N,0,18,Nne,RpAIR,Nw,RpLACE,RpAIR,ChnLnk,MdSlp,Y,1,,04,Y,0655,none,2550    0818,(TOJ for Recreation Purposes),1972/12/14 05:00:00+00,,{AB1DCD1E-2F80-41B8-862F-9612BF34EE3D},,,116,0,0
K C Lewis,"Bryant and W Sts., 4th St., NW",PARK,DPR_0705,Y,1,0,1,,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,N,1,,04,,0705,Lewis,RES 07050000,Subdivision Book 162 Page 1 (TOJ for Recreation Purposes),1972/12/14 05:00:00+00,,{A5FDF8BB-F17C-4833-BBD3-E3C7ED36EEFC},,,117,0,0
W Street Park,"48th St., between W and Ashby Sts., NW",PARK,DPR_0694,Y,,,,,,,,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,N,3,,03,,0694,none,1384    0815,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),1972/12/14 05:00:00+00,,{33A85575-8DA5-430F-B6F7-034A1EBF70E7},,,118,0,0
Belmont Park,"Connecticut Ave., NW and Belmont Rd., NW",PARK,DPR_0360,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0360,none,PAR 03050007,BELMONT PARK DESIGNATION AND ESTABLISHMENT ACT OF 2013.  BELMONT PARK,2014/06/04 04:00:00+00,,{C7B88FD6-7B7B-4096-A5FA-6E0C72AF41EA},,,119,0,0
Marie Reed,"18th St. and Kalorama Rd., NW",REC CENTER GROUNDS,DPR_0664,Y,0,0,2,0,0,0,2,0,N,N,0,0,4,1,0,0,0,N,0,0,0,Y,,N,0,4,RpLACE,RpLACE,Nw,RpLACE,RpAIR,ChnLnk,MdSlp,N,1,,04,,0664,Marie Reed Learning Center,Multiple Lots,"Subdivision 158, Page 28.  TOJ to DC for recreation purposes",,,{396C30EB-1F8A-460D-85C3-71E8C83F426F},,,120,0,0
Triangle Park RES 305A,"Columbia Rd.,19th St.,Kalorama Rd.,NW",TRIANGLE,DPR_305A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,04,,305A,none,2550S   0800,TOJ for Comp Plan,,,{FBCBA917-0C74-4EF3-896B-76AB0470D859},,,121,0,0
Happy Hollow Childrens Pool,2200 CHAMPLAIN STREET NW,AQUATIC CENTER,DPR_0057,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,none,,2562    0826,,,,{C632B9AA-B641-459A-BED7-21664674E1C8},,,122,0,0
The Park at LeDroit,4th Street NW and V Street NW,SMALL PARK,DPR_0061,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,none,,3082    0826,GAGE ECKINGTON PARK.  ADDRESSES ARE RETIRED.  Now named The Park at LeDroit,,,{4B76DAC2-27D1-4F2F-B725-EBD0E6E3280A},,,123,0,0
Harrison,"U and V Sts., to 13th & 14th Sts., NW",REC CENTER GROUNDS,DPR_0640,Y,1,0,1,0,0,0,0,0,N,N,1,0,0,1,1,0,0,N,0,0,0,N,,N,0,9,RpLACE,RpAIR,RpAIR,RpLACE,RpAIR,ChnLnk,Flt,N,1,,04,N,0640,none,0236    0830,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),1972/11/14 05:00:00+00,,{44B8AAEC-68AA-4FEF-B094-0D1607DBAD7B},,,124,0,0
DPR Central Office,1250 U STREET NW,ADMIN,DPR_0051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,none,,0274    0133,,,,{E39DB9ED-A153-449A-8CC4-BECDC2C2B937},,,125,0,0
Jelleff Field,"3265 S Street, NW",REC CENTER GROUNDS,DPR_0023,Y,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,ChnLnk,,,2,,,,none,none,1299    1010,,,,{EB5E54FC-8B76-4FD1-82B9-7CDDCF47FF6D},,,126,0,0
Anna J. Cooper Circle,"T and 3rd Streets, NW",CIRCLE,DPR_0311,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,04,,0311,none,RES 03110000,TOJ for Comp Plan,2004/01/01 05:00:00+00,,{8E560216-653E-40DF-81C6-497629B87CCE},,,127,0,0
Triangle Park RES 0145,"New Hampshire Ave.,17th St.,T St.,NW",TRIANGLE,DPR_0145,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,04,,0145,none,RES 01450000,TOJ for Comp Plan,,,{13D885D0-8ADE-4585-A294-3EF45EFD9292},,,128,0,0
Harry Thomas,"Lincoln Rd. and 2nd St., to R and T Sts., NE",REC CENTER GROUNDS,DPR_0464,Y,0,1,1,1,0,0,2,0,N,N,2,1,0,1,1,0,1,N,0,0,0,Y,,N,1,0,Nw,RpLACE,RpLACE,RpLACE,Pr,ChnLnk,Flt,N,5,,10,N,0464,Emery Elementary School,RES 04640000,Subdivision Book 158 Page 11 (TOJ for Recreation Purposes),,,{2A248F8E-D274-41E0-8EE2-7E6ED360E9EE},,,129,0,0
Westminster Playground,"907 Westminster St., NW",PARK,DPR_0043,Y,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,N,1,,05,,none,none,Multiple Lots,,,,{F075ABCD-9D03-4701-8692-1908B678E7CC},,,130,0,0
Triangle Park RES 0168,"Vermont Ave. & 11th St., north of S St., NW",SMALL PARK,DPR_0168,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0168,,RES 01680000,TOJ TO DC,,,{52F659CF-5F53-4B15-AE09-F123CCDF2644},,,131,0,0
DPR Warehouse,1325 S STREET NW,ADMIN,DPR_0052,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,none,,0238    0870,,,,{C38A8578-D62C-486E-8042-107E577C1019},,,132,0,0
Mitchell Playground,"23rd & S Sts., NW",PARK,DPR_0672,Y,1,0,1,0,0,0,1,0,N,N,8,0,4,1,1,0,0,N,0,0,0,,,N,2,22,Nne,Pr,Nw,RpLACE,Gd,ChnLnk,Flt,N,2,,04,Y,0672,none,Multiple Lots,Subdivision Book 162 Page 1 (TOJ for Recreation Purposes),1972/12/14 05:00:00+00,,{D9DBF198-A34E-4CF8-B597-8542B65D26BA},,,133,0,0
S Street Dog Park,"New Hampshire Ave.,17th St.,S St.,NW",TRIANGLE,DPR_0144,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,04,,0144,none,RES 01440000,TOJ for Comp Plan.  Triangle Park RES 0144.  S Street Dog Park,,,{2AAD73ED-1CEF-48D5-A86D-BEFDB0C44941},,,134,0,0
Arboretum,"24th St. and Rand Pl., NE",REC CENTER GROUNDS,DPR_0042,Y,0,0,1,0,0,0,2,0,N,Y,0,1,7,1,0,0,0,Y,0,0,0,N,,N,0,0,Nne,Nne,RpAIR,RpLACE,Gd,Nne,Flt,N,5,,11,N,none,none,Multiple Lots,,,,{3C4CBA3A-0174-4894-B44A-28E5D35CD3DE},,,135,0,0
Decatur Terrace Steps and Fountain ,"22nd St., between Decatur Pl. & S St., NW",SMALL PARK,DPR_057C,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,057C,,2515    0815,"Subdivision Book 158, Page 44.  TOJ for Comp Plan",,,{83863AF2-E4AC-474E-9D3A-C14D8F287353},,,136,0,0
10th and French Street Park,10th & French St. NW,SMALL PARK,DPR_0022,Y,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,Flt,,6,,5,,none,none,Multiple Lots,,,,{261EBA85-699E-453E-BC99-F96857F7E32C},,,137,0,0
Book Hill Park,"Wisconsin Ave. and R St., NW",PARK,DPR_0325,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,2,,03,,0325,none,RES 06560000,Subdivision Book 162 Page 1 (TOJ for Recreation Purposes),1979/01/01 05:00:00+00,,{AFE0DD36-3EA6-47B9-81A8-3D653FD3314C},,,138,0,0
Triangle Park RES 0166,"Vermont Ave. & 12th St., north of R St., NW",SMALL PARK,DPR_0166,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0166,,RES 01660000,"Subdivision Book 143, Page 45.  TOJ TO DC",,,{4A4E1B58-8269-43D4-B0A2-5F5468512A7E},,,139,0,0
Triangle Park RES 0159,"Rhode Island Ave.,6th St.,R St.,NW",TRIANGLE,DPR_0159,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,05,,0159,none,0444N   0800,TOJ for Comp Plan,,,{A0F3D35D-3CFC-4593-91C1-0A190F8E35B0},,,140,0,0
Florida Avenue Playground,"First Street and Florida Avenue, NW",PARK,DPR_0011,Y,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,N,5,,05,,none,none,0551    0232,,,,{47EB578C-16C9-428A-BC40-61A4B0D9C083},,,141,0,0
Brentwood Park (Patterson Tract),"6th St., between New York & Florida Aves., NE",PARK,DPR_0495,Y,0,1,2,0,0,0,2,0,,,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,N,5,,11,,0495,none,PAR 01290057,Subdivision Books (162 & 158) Pages (5 & 40) (TOJ to DC for Recreation & Hwy purposes),1986/01/01 05:00:00+00,,{808BB3AF-C103-4D54-B71E-DD9C55198CEB},,,142,0,0
Triangle Park RES 277C,"North Capitol St NW, Lincoln Rd NE, and R St NE",TRIANGLE,DPR_277C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,277C,,3514    0802,"Subdivision Book 204, Page 198. TOJ TO DC",,,{6BAD0913-F2EA-4199-8642-F358F7C0BD94},,,144,0,0
Carter G. Woodson Memorial Park,"Rhode Island Ave.,9th St.,Q St.,NW",TRIANGLE,DPR_0157,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,05,,0157,none,RES 01570000,TOJ for Comp Plan,1972/12/14 05:00:00+00,,{3148AE4A-710A-4430-BCEC-12C5318891EB},,,145,0,0
Stead,1625 P STREET NW,REC CENTER GROUNDS,DPR_0660,Y,1,0,2,0,0,0,0,0,N,N,4,0,1,1,1,0,0,N,0,0,0,Y,,N,1,8,RpAIR,RpAIR,Nw,RpLACE,Pr,ChnLnk,Flt,N,2,,04,,0660,none,0180    0813,(TOJ for Recreation Purposes),1972/12/14 05:00:00+00,,{7CDA6557-B8A0-4D10-AB4C-2F723FF2B6DE},,2024/08/26 22:26:47+00,146,0,0
Volta Park Recreation Center,1555 34TH STREET NW,REC CENTER GROUNDS,DPR_0472,Y,1,0,2,0,0,0,2,0,N,N,4,0,5,1,1,0,1,N,0,0,0,N,,N,2,0,Nne,Gd,Nw,RpLACE,RpLACE,ChnLnk,Flt,N,2,,03,,0472,none,Multiple Lots,Subdivision Book 162 Page 1 (TOJ for Recreation Purposes),1972/12/14 05:00:00+00,,{C58A3802-D69E-4DA7-AC42-160F66E4655F},,,147,0,0
Hardy,"Foxhall Rd. and Q St., NW",REC CENTER GROUNDS,DPR_0709,Y,0,0,1,0,0,0,2,0,,N,2,0,3,1,1,0,0,N,0,0,0,N,,Y,0,8,Nne,Gd,Nw,RpLACE,Pr,ChnLnk,Flt,N,3,,03,,0709,none,RES 07090000,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),1972/11/14 05:00:00+00,,{D37036A9-005A-4853-8973-8AB92AA82D51},,,148,0,0
Kennedy,"P St., between 6th and 7th Sts., NW",REC CENTER GROUNDS,DPR_0020,Y,1,0,2,0,0,0,1,0,N,Y,1,1,0,1,1,0,0,N,0,0,0,Y,,Y,0,6,Nw,Pr,Nw,RpLACE,Pr,Ir,Flt,N,6,,05,Y,none,none,Multiple Lots,,,,{6F1068E2-C3FD-4038-B228-F24C69D0979F},,,149,0,0
Bundy Field,"New Jersey Ave., between O and P Sts., NW",PARK,DPR_0633,Y,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,,05,,0633,Bundy,0511    0822,Subdivision Book 162 Page 1 (TOJ for Recreation Purposes),1972/12/14 05:00:00+00,,{D6DDCD12-4A85-4BC5-B565-9F0D52F846B4},,,150,0,0
Rose Park,"Rock Creek, between National Zoological Park & Theodore Roosevelt Bridge, NW",REC CENTER GROUNDS,DPR_0361,Y,1,0,1,0,0,0,3,0,N,Y,0,0,0,1,1,0,0,N,0,0,0,N,,N,1,8,Nne,Pr,RpAIR,RpAIR,Pr,ChnLnk,Flt,N,2,,03,,0360,none,RES 06390000,Subdivision Book 158 Page 34 (TOJ for Recreation Purposes),,,{F6160F6A-8760-483F-8E1B-4EBEDF1019BE},,,151,0,0
Deanwood,"49th and Quarles Sts., NE",REC CENTER GROUNDS,DPR_0666,Y,1,0,0,0,0,0,3,0,N,N,5,0,1,1,1,0,1,N,0,0,0,Y,,N,0,6,Nw,Nne,RpLACE,RpLACE,Pr,ChnLnk,Flt,N,7,,13,Y,0666,Ronald Brown Middle School,5162    0026,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),1968/01/18 05:00:00+00,,{F887A232-B958-4356-9CA4-4FB3A845A92E},,,152,0,0
NJ and O Sts Park,"1301 New Jersey Avenue, NW",PARK,DPR_0191,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,6,,05,,0191,none,0512    0112,,,,{52E82391-9BD1-4EB8-A0C6-74D90798F15C},,,153,0,0
Kenilworth-Parkside Recreation Center,1300 44TH STREET NE,REC CENTER GROUNDS,DPR_0059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,none,,5101    0801,,,,{F04252B1-22A4-42F2-BD7C-934803DEE3F8},,,154,0,0
Francis,"25th and N Sts., NW",POOL/SPRAY PARK,DPR_0639,Y,1,0,1,0,0,0,4,0,N,Y,0,0,0,1,0,0,1,N,0,0,0,N,,Y,0,0,,Gd,RpAIR,RpAIR,Pr,ChnLnk,Flt,Y,2,,06,,0639,Francis Junior High School,RES 06390000,"Subdivision 158, Page 11.  TOJ to DC for recreation purposes",1971/10/18 04:00:00+00,,{FF305A5D-E219-47D8-8D15-F314DC4983FA},,2024/08/26 23:01:34+00,155,0,0
Dunbar Aquatic Center,101 N STREET NW,AQUATIC CENTER,DPR_0058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,none,,0554    0860,,,,{01A6659F-A78A-41C2-A327-09227C67D130},,,156,0,0
Trinidad,"Trinidad Ave., at Childress St., NE",REC CENTER GROUNDS,DPR_0615,Y,0,0,0,0,0,0,0,0,N,N,0,0,0,0,0,0,0,,0,0,0,,,,0,0,,,,,,,,N,5,,11,,0615,none,RES 06150000,Subdivision Book 152 Page 138 (TOJ for Recreation Purposes),1968/01/01 05:00:00+00,,{95C6CBB8-743A-4367-902E-2C400D4D27A5},,,157,0,0
