X,Y,OBJECTID,STORE,ADDRESS,XCOORD,YCOORD,MATCHTYPE,MAR_ID,LATITUDE,LONGITUDE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-8569230.61170108,4706642.69576108,40,Economy Market,1804 D St NE,401847.25,136349.87,Exact,56044,38.89499487,-76.97870604,HealthyCornerStorePt_40,{F45425C4-3505-4C73-BED8-ADE48329BE4D},,,,
-8569801.60841695,4706637.00240078,41,Millie’s Market,1452 D St NE,401402.28,136345.36,Exact,63101,38.89495506,-76.98383539,HealthyCornerStorePt_41,{0D80B408-4B70-4E8E-B843-0E26497F5BF2},,,,
-8564772.38749081,4706162.32674151,42,BP Benning Marketplace,4400 Benning Rd NE,405321.74,135978.61,Exact,288186,38.89163625,-76.93865714,HealthyCornerStorePt_42,{FB5D7FF9-5EC8-4B40-A47D-4B432636A425},,,,
-8566311.87539901,4706086.9236562,43,Minnesota Food Mart,3728 Minnesota Ave NE,404122.01,135919.37,Exact,31128,38.89110904,-76.95248659,HealthyCornerStorePt_43,{EA608FAD-2CEE-41DD-864A-7C3BA38611E4},,,,
-8566511.54792449,4705956.16486673,44,Greenway Market,3542 East Capitol St NE,403966.45,135817.8,Exact,287971,38.89019477,-76.95428028,HealthyCornerStorePt_44,{DBD4D7FF-E909-4EA0-89A9-F9FDA8F61ED4},,,,
-8569748.12159167,4705941.89158243,45,The Cupboard,1504 East Capitol Street NE,401444.06,135805.86,Exact,62482,38.89009498,-76.98335491,HealthyCornerStorePt_45,{499E136D-2200-49A8-A92D-17D55EB24827},,,,
-8571642.67009295,4705937.89957569,46,The Corner Market,400 East Capitol St NE,399967.56,135802.63,Exact,28319,38.89006706,-77.00037392,HealthyCornerStorePt_46,{1C969374-57C0-4E13-9A5C-71A03F253FC9},,,,
-8563286.19239906,4705844.15704774,47,Toni's Market,5319 East Capitol Street SE,406480.17,135732.52,Exact,288601,38.88941161,-76.92530643,HealthyCornerStorePt_47,{D49F53AC-B5D6-4CC5-8329-A3DD651D1ABA},,,,
-8569749.41350396,4705610.60470321,48,S.E. Market,1500 Independence Ave SE,401443.1,135548.72,Exact,62552,38.88777856,-76.98336651,HealthyCornerStorePt_48,{CA9FBB76-7F57-4D77-A122-3741778CAEB4},,,,
-8565163.26665603,4704979.35704562,49,Texas Convenience Store,4350 Texas Ave SE,405017.7,135060.19,Exact,22871,38.88336457,-76.94216847,HealthyCornerStorePt_49,{2C348503-7A5E-470F-9AD9-28C17E4F0842},,,,
-8564201.75323223,4704727.55784613,50,Dollar Plus Food Store (Benning Rd.),4837 Benning Road SE,405767.26,134865.24,Exact,16739,38.88160378,-76.93353105,HealthyCornerStorePt_50,{4F0EB1F7-8C57-4815-8722-6C429BFEBB7B},,,,
