GEOID,TotalPopulation,DIABETES,CASTHMA,m1_1_sch_1,m1_2_qua_1,total_score,crime_burden_per_1000,percentile,weighted_mean_dist_m,weighted_mean_percentile,LOWINCOME,LOWINCPCT,UNEMPLOYED,UNEMPPCT,TRACT_COUNT_Alcohol_Li,TRACT_COUNT_Grocery_St,TRACT_COUNT_Healthy_Co,TRACT_COUNT_Independen,TRACT_COUNT_Leaking_Un,TRACT_COUNT_Metro_Bus_,TRACT_COUNT_Metro_Stat,TRACT_COUNT_Parks_and_,TRACT_COUNT_Police_Sta,TRACT_COUNT_Primary_Ca,TRACT_COUNT_Recreation,dist_to_m_Alcohol_Li,dist_to_m_Grocery_St,dist_to_m_Healthy_Co,dist_to_m_Independen,dist_to_m_Leaking_Un,dist_to_m_Metro_Bus_,dist_to_m_Metro_Stat,dist_to_m_Parks_and_,dist_to_m_Police_Sta,dist_to_m_Primary_Ca,dist_to_m_Recreation,TRACT_MEAN_ELEV,TRACT_MED_ELEV,TRACT_COUNT_Hospital,TRACT_COUNT_Food_Access,TRACT_COUNT_Public_House
11001002802,0.9121951219512195,0.5853658536585366,0.526829268292683,0.563106796,0.611650485,6.9442,1.371558364605965,0.8398058252427184,166.2565130342966,9.207921372183725,2246,0.7853658536585366,330,0.7268292682926829,0.5658536585365853,0.9365853658536586,0,0.7365853658536585,0.5365853658536586,0.24878048780487805,0.8292682926829268,0.3804878048780488,0,0.7951219512195122,0,0.2780487804878049,0.05365853658536585,0.32195121951219513,0.1073170731707317,0.08780487804878048,0.5073170731707317,0.06341463414634146,0.07317073170731707,0.28780487804878047,0.06341463414634146,0.12682926829268293,0,0,0,0,0.8048780487804879
11001009803,0.375609756097561,0.9317073170731708,0.8731707317073171,0.208737864,0.11407767,4.463,1.415477323184269,0.8737864077669902,546.4645853977116,48.87245687488481,1155,0.7804878048780488,183,0.7804878048780488,0.09268292682926829,0,0,0,0.36585365853658536,0.4975609756097561,0,0.8634146341463415,0,0,0.6097560975609756,0.6536585365853659,0.5560975609756098,0.37073170731707317,0.4146341463414634,0.2634146341463415,0.43902439024390244,0.8292682926829268,0.5121951219512195,0.975609756097561,0.4146341463414634,0.33658536585365856,0.8926829268292683,0.8926829268292683,0,0.8439024390243902,0
11001007803,0.8829268292682927,0.8536585365853658,0.7951219512195122,0.582524,0.864078,6.8914,1.605264383880736,0.8980582524271845,351.36616685553315,29.348891592719088,2004,0.8146341463414634,247,0.775609756097561,0.5170731707317073,0,0.926829268292683,0,0.7121951219512195,0.8975609756097561,0.8292682926829268,0,0,0.7951219512195122,0,0.40487804878048783,0.5317073170731708,0.02926829268292683,0.7707317073170732,0.824390243902439,0.8780487804878049,0.28292682926829266,0.6146341463414634,0.08292682926829269,0.35121951219512193,0.8634146341463415,0.8292682926829268,0.8195121951219512,0,0.9073170731707317,0
11001000201,0.7902439024390244,0.004878048780487805,0.8829268292682927,0.650485437,0.650485437,0.024,0.00604229607250755,0.0145631067961165,498.2614699132933,45.3071349070035,48,0.9804878048780488,84,0.697560975609756,0.3951219512195122,0,0,0.7365853658536585,0.2780487804878049,0.0975609756097561,0,0,0,0.7951219512195122,0,0.47317073170731705,0.7463414634146341,0.9414634146341463,0.25853658536585367,0.7073170731707317,0.8439024390243902,0.926829268292683,0.8731707317073171,0.9170731707317074,0.15609756097560976,0.624390243902439,0,0,0.9365853658536586,0.6487804878048781,0
11001006801,0.14146341463414633,0.4878048780487805,0.5902439024390244,0.412621359,0.660194175,0.9028,0.357120253164557,0.4174757281553398,545.87398449235,49.87008476714347,511,0.5463414634146342,117,0.6341463414634146,0.09268292682926829,0,0.751219512195122,0,0.0975609756097561,0.1951219512195122,0,0,0,0,0,0.5853658536585366,0.6390243902439025,0.1073170731707317,0.9707317073170731,0.5073170731707317,0.2780487804878049,0.08292682926829269,0.4585365853658537,0.6780487804878049,0.8097560975609757,0.8731707317073171,0,0,0,0.3853658536585366,0
11001009503,0.43414634146341463,0.7609756097560976,0.6439024390243903,0.519417476,0.11407767,0.3234,0.1039871382636656,0.13106796116504854,638.5969592363699,56.41112135799971,865,0.6536585365853659,89,0.5317073170731708,0,0,0,0.7365853658536585,0.18536585365853658,0.8634146341463415,0,0.697560975609756,0,0,0.6097560975609756,0.8975609756097561,0.7268292682926829,0.7170731707317073,0.2975609756097561,0.8390243902439024,0.2048780487804878,0.7707317073170732,0.5365853658536586,0.9609756097560975,0.3804878048780488,0.7414634146341463,0,0,0.9365853658536586,0.9365853658536586,0
11001009604,0.07317073170731707,0.8390243902439024,0.7560975609756098,0.300970874,0.252427184,2.091,0.8377403846153847,0.6990291262135923,689.1935596565235,63.06385854390531,543,0.5756097560975609,183,0.8146341463414634,0.3951219512195122,0,0.751219512195122,0,0.03902439024390244,0.5609756097560976,0,0,0,0,0,0.6585365853658537,0.7560975609756098,0.14146341463414633,0.926829268292683,0.5560975609756098,0.2146341463414634,0.6780487804878049,0.7414634146341463,0.5219512195121951,0.35609756097560974,0.9073170731707317,0.7609756097560976,0.7658536585365854,0,0.3853658536585366,0
11001005004,0.7219512195121951,0.5560975609756098,0.4878048780487805,0.86407767,0.902912621,0.5516,0.13404617253948967,0.16019417475728157,317.53379560865204,25.178186016648834,1567,0.751219512195122,90,0.375609756097561,0.33170731707317075,0.6439024390243903,0,0,0.2780487804878049,0.14146341463414633,0,0,0,0,0,0.23902439024390243,0.07317073170731707,0.5853658536585366,0.43414634146341463,0.2097560975609756,0.3073170731707317,0.2634146341463415,0.6439024390243903,0.4,0.0975609756097561,0.6,0,0,0,0,0.8829268292682927
11001004202,0.33658536585365856,0.11707317073170732,0.2048780487804878,0.839805825,0.63592233,0.6254,0.2404459823144944,0.2815533980582524,278.6676200591106,20.76917464181165,470,0.5024390243902439,65,0.3463414634146341,0.8536585365853658,0.6439024390243903,0,0.7365853658536585,0.2780487804878049,0.024390243902439025,0,0,0,0,0,0.35609756097560974,0.12682926829268293,0.697560975609756,0.08292682926829269,0.32195121951219513,0.624390243902439,0.1902439024390244,0.6829268292682927,0.1951219512195122,0.45365853658536587,0.5804878048780487,0,0,0,0.14146341463414633,0
11001009201,0.424390243902439,0.2634146341463415,0.526829268292683,0.567961165,0.11407767,2.5502,0.77940097799511,0.6699029126213593,555.8405133155635,51.06987495746465,808,0.6341463414634146,85,0.4682926829268293,0.6292682926829268,0,0,0,0.5365853658536586,0.6146341463414634,0,0.3804878048780488,0,0,0,0.7658536585365854,0.6585365853658537,0.5658536585365853,0.5463414634146342,0.48292682926829267,0.7951219512195122,0.3170731707317073,0.5804878048780487,0.6634146341463415,0.3902439024390244,0.44390243902439025,0,0,0,0.24878048780487805,0
